<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,1,03/07/20,16:11:00,1.1227500,1.1228600,1.1226000,1.1227500,902
EURUSD,1,03/07/20,16:12:00,1.1227700,1.1230300,1.1226000,1.1229200,1033
EURUSD,1,03/07/20,16:13:00,1.1229800,1.1230200,1.1228000,1.1229700,859
EURUSD,1,03/07/20,16:14:00,1.1229900,1.1230100,1.1228000,1.1229000,899
EURUSD,1,03/07/20,16:15:00,1.1228400,1.1230000,1.1227000,1.1229500,898
EURUSD,1,03/07/20,16:16:00,1.1229100,1.1230900,1.1228000,1.1229900,1278
EURUSD,1,03/07/20,16:17:00,1.1230200,1.1231500,1.1228000,1.1230800,1469
EURUSD,1,03/07/20,16:18:00,1.1230800,1.1231800,1.1229000,1.1231000,989
EURUSD,1,03/07/20,16:19:00,1.1231100,1.1231400,1.1227500,1.1228800,1198
EURUSD,1,03/07/20,16:20:00,1.1229600,1.1231000,1.1228000,1.1230900,918
EURUSD,1,03/07/20,16:21:00,1.1229800,1.1230900,1.1228000,1.1229800,951
EURUSD,1,03/07/20,16:22:00,1.1229000,1.1230600,1.1227000,1.1230200,946
EURUSD,1,03/07/20,16:23:00,1.1229900,1.1231000,1.1228000,1.1230300,684
EURUSD,1,03/07/20,16:24:00,1.1229300,1.1230800,1.1228000,1.1230300,793
EURUSD,1,03/07/20,16:25:00,1.1229600,1.1231400,1.1228500,1.1230900,742
EURUSD,1,03/07/20,16:26:00,1.1231300,1.1233300,1.1229500,1.1232000,1310
EURUSD,1,03/07/20,16:27:00,1.1232000,1.1233100,1.1229000,1.1231700,1225
EURUSD,1,03/07/20,16:28:00,1.1230000,1.1232600,1.1230000,1.1231400,925
EURUSD,1,03/07/20,16:29:00,1.1231000,1.1231700,1.1228000,1.1228500,1070
EURUSD,1,03/07/20,16:30:00,1.1230200,1.1232000,1.1228500,1.1231600,1018
EURUSD,1,03/07/20,16:31:00,1.1231800,1.1233800,1.1229000,1.1233000,1611
EURUSD,1,03/07/20,16:32:00,1.1232700,1.1234900,1.1230000,1.1233000,1804
EURUSD,1,03/07/20,16:33:00,1.1233600,1.1233700,1.1230000,1.1232200,1428
EURUSD,1,03/07/20,16:34:00,1.1231600,1.1232900,1.1230000,1.1232200,904
EURUSD,1,03/07/20,16:35:00,1.1232200,1.1234000,1.1231000,1.1233000,1011
EURUSD,1,03/07/20,16:36:00,1.1232800,1.1234000,1.1231000,1.1233800,1135
EURUSD,1,03/07/20,16:37:00,1.1233800,1.1234100,1.1232000,1.1233800,1084
EURUSD,1,03/07/20,16:38:00,1.1233000,1.1234600,1.1232000,1.1234200,1169
EURUSD,1,03/07/20,16:39:00,1.1233000,1.1234700,1.1232000,1.1233700,849
EURUSD,1,03/07/20,16:40:00,1.1234600,1.1235000,1.1232000,1.1233000,1089
EURUSD,1,03/07/20,16:41:00,1.1233500,1.1235200,1.1232000,1.1234100,957
EURUSD,1,03/07/20,16:42:00,1.1234100,1.1236000,1.1233000,1.1235700,1294
EURUSD,1,03/07/20,16:43:00,1.1235700,1.1237600,1.1233000,1.1236800,1680
EURUSD,1,03/07/20,16:44:00,1.1236600,1.1238200,1.1235000,1.1237400,1452
EURUSD,1,03/07/20,16:45:00,1.1237300,1.1238300,1.1235000,1.1237800,1089
EURUSD,1,03/07/20,16:46:00,1.1237000,1.1239100,1.1236500,1.1238600,1313
EURUSD,1,03/07/20,16:47:00,1.1238400,1.1239400,1.1236000,1.1238000,1209
EURUSD,1,03/07/20,16:48:00,1.1237300,1.1238800,1.1235000,1.1237100,952
EURUSD,1,03/07/20,16:49:00,1.1236500,1.1237400,1.1233000,1.1236000,1391
EURUSD,1,03/07/20,16:50:00,1.1235600,1.1236700,1.1233000,1.1235400,1229
EURUSD,1,03/07/20,16:51:00,1.1234000,1.1236500,1.1234000,1.1235000,1477
EURUSD,1,03/07/20,16:52:00,1.1235100,1.1235800,1.1233000,1.1234500,1317
EURUSD,1,03/07/20,16:53:00,1.1235300,1.1235500,1.1233000,1.1234700,789
EURUSD,1,03/07/20,16:54:00,1.1235000,1.1235500,1.1233000,1.1234800,917
EURUSD,1,03/07/20,16:55:00,1.1233800,1.1235600,1.1232000,1.1235500,1539
EURUSD,1,03/07/20,16:56:00,1.1235400,1.1236000,1.1232000,1.1235700,1327
EURUSD,1,03/07/20,16:57:00,1.1235700,1.1238000,1.1234500,1.1237600,1565
EURUSD,1,03/07/20,16:58:00,1.1236900,1.1237900,1.1235000,1.1237000,1019
EURUSD,1,03/07/20,16:59:00,1.1236200,1.1238400,1.1235000,1.1237100,1077
EURUSD,1,03/07/20,17:00:00,1.1237200,1.1238000,1.1235000,1.1237200,1917
EURUSD,1,03/07/20,17:01:00,1.1237200,1.1238200,1.1234500,1.1236400,1267
EURUSD,1,03/07/20,17:02:00,1.1236200,1.1237500,1.1234000,1.1237000,1601
EURUSD,1,03/07/20,17:03:00,1.1236400,1.1239400,1.1235000,1.1237000,1524
EURUSD,1,03/07/20,17:04:00,1.1238300,1.1239200,1.1236000,1.1237600,1088
EURUSD,1,03/07/20,17:05:00,1.1237000,1.1241200,1.1236500,1.1240000,2000
EURUSD,1,03/07/20,17:06:00,1.1240600,1.1243000,1.1239500,1.1241200,1811
EURUSD,1,03/07/20,17:07:00,1.1241400,1.1242000,1.1238000,1.1241000,1897
EURUSD,1,03/07/20,17:08:00,1.1240400,1.1242900,1.1239000,1.1241000,1721
EURUSD,1,03/07/20,17:09:00,1.1242000,1.1242600,1.1238000,1.1241500,1990
EURUSD,1,03/07/20,17:10:00,1.1240500,1.1242400,1.1239000,1.1240000,1217
EURUSD,1,03/07/20,17:11:00,1.1241300,1.1241600,1.1239000,1.1240800,1091
EURUSD,1,03/07/20,17:12:00,1.1240900,1.1242400,1.1240000,1.1241200,1293
EURUSD,1,03/07/20,17:13:00,1.1241100,1.1241300,1.1238000,1.1239800,1317
EURUSD,1,03/07/20,17:14:00,1.1239800,1.1241000,1.1238000,1.1240000,905
EURUSD,1,03/07/20,17:15:00,1.1240000,1.1240800,1.1238000,1.1240300,829
EURUSD,1,03/07/20,17:16:00,1.1239800,1.1243600,1.1239000,1.1243200,1818
EURUSD,1,03/07/20,17:17:00,1.1242000,1.1243600,1.1241000,1.1242600,1437
EURUSD,1,03/07/20,17:18:00,1.1242800,1.1243100,1.1239000,1.1241100,1694
EURUSD,1,03/07/20,17:19:00,1.1241200,1.1242500,1.1238000,1.1241600,1543
EURUSD,1,03/07/20,17:20:00,1.1240800,1.1243300,1.1240000,1.1243100,1838
EURUSD,1,03/07/20,17:21:00,1.1242100,1.1243300,1.1239000,1.1240700,1233
EURUSD,1,03/07/20,17:22:00,1.1240500,1.1243600,1.1239000,1.1241600,1771
EURUSD,1,03/07/20,17:23:00,1.1240800,1.1241800,1.1239000,1.1239500,1203
EURUSD,1,03/07/20,17:24:00,1.1241200,1.1242900,1.1240000,1.1241300,1081
EURUSD,1,03/07/20,17:25:00,1.1241200,1.1242800,1.1239000,1.1241800,1127
EURUSD,1,03/07/20,17:26:00,1.1241600,1.1242300,1.1239000,1.1240800,1426
EURUSD,1,03/07/20,17:27:00,1.1241800,1.1243700,1.1240000,1.1242500,2233
EURUSD,1,03/07/20,17:28:00,1.1241900,1.1243900,1.1241000,1.1242900,1375
